id,symbol,name,image,current_price,market_cap,market_cap_rank,total_volume
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,46954,919106997316,1,42580776772
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2313.28,278042977812,2,24793525083
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,94187066775,3,57174173978
binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,299.24,46008466730,4,1134959663
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1696504756,99.07,42827801726,5,3698517296
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.573307,31087658173,6,1313265406
usd-coin,usdc,USDC,https://assets.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.001,25404307040,7,12334396882
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2312.16,21411568794,8,17745360
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.528054,18525455815,9,659999497
avalanche-2,avax,Avalanche,https://assets.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,35.76,13116997744,10,989659931
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.079982,11394505281,11,571541095
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,7.33,9657583051,12,280585743
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.104078,9194330673,13,410285372
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,14,7959958756,14,524809137
the-open-network,ton,Toncoin,https://assets.coingecko.com/coins/images/17980/large/ton_symbol.png?1696517498,2.24,7750016320,15,47146758
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/polygon.png?1698233745,0.817234,7593679276,16,585372899
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,46898,7419838499,17,418495873
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,13.18,6005298433,18,443521783
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1696511800,0.00000941,5552564914,19,202966815
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1,5304640490,20,201392716
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1696501400,66.93,4953186771,21,959915844
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,248.29,4869832197,22,324212534
