id,symbol,name,image,currentPrice,marketCap,marketCapRank,fullyDilutedValuation,totalVolume,priceChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,circulatingSupply,totalSupply,maxSupply,ath,athChangePercentage,athDate,atl,atlChangePercentage,atlDate,roi,lastUpdated,roi/times,roi/currency,roi/percentage
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,46954,919106997316,1,985090166094,42580776772,7.82702,65674679336,7.69536,19593381,21000000,21000000,69045,-32.07041,2021-11-10T14:24:11.849Z,67.81,69067.55739,2013-07-06T00:00:00.000Z,,2024-01-09T03:56:06.767Z,,,
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2313.28,278042977812,2,278042977812,24793525083,5.60883,14724992728,5.5921,120184188.645257,120184188.645257,,4878.26,-52.56809,2021-11-10T14:24:19.604Z,0.432979,534303.01346,2015-10-20T00:00:00.000Z,,2024-01-09T03:56:13.078Z,64.86243288873499,btc,6486.243288873499
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,94187066775,3,94187066775,57174173978,0.05711,401739811,0.42836,94091164864.7238,94091164864.7238,,1.32,-24.37686,2018-07-24T00:00:00.000Z,0.572521,74.76499,2015-03-02T00:00:00.000Z,,2024-01-09T03:55:16.770Z,,,
binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,299.24,46008466730,4,46008466730,1134959663,1.84995,803746081,1.77801,153856150,153856150,200000000,686.31,-56.44688,2021-05-10T07:24:17.097Z,0.0398177,750591.23335,2017-10-19T00:00:00.000Z,,2024-01-09T03:55:54.748Z,,,
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1696504756,99.07,42827801726,5,56194325210,3698517296,12.91802,5019542867,13.27631,431921553.689061,566723933.40469,,259.96,-61.94011,2021-11-06T21:54:35.825Z,0.500801,19656.38308,2020-05-11T19:35:23.449Z,,2024-01-09T03:55:49.863Z,,,
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.573307,31087658173,6,57339415629,1313265406,2.46402,760830814,2.50877,54210437480,99988065643,100000000000,3.4,-83.16983,2018-01-07T00:00:00.000Z,0.00268621,21192.66836,2014-05-22T00:00:00.000Z,,2024-01-09T03:55:51.914Z,,,
usd-coin,usdc,USDC,https://assets.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.001,25404307040,7,25404318925,12334396882,0.05351,33291461,0.13122,25360989117.6891,25361000983.0929,,1.17,-14.74625,2019-05-08T00:40:28.300Z,0.877647,13.91555,2023-03-11T08:02:13.981Z,,2024-01-09T03:55:57.511Z,,,
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2312.16,21411568794,8,21411568794,17745360,5.69818,1170781795,5.78427,9258480.65790162,9258480.65790162,9258480.65790162,4829.57,-52.17768,2021-11-10T14:40:47.256Z,482.9,378.28341,2020-12-22T04:08:21.854Z,,2024-01-09T03:56:05.678Z,,,
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.528054,18525455815,9,23776016075,659999497,11.09508,1828614747,10.95186,35062455754.9956,45000000000,45000000000,3.09,-82.86478,2021-09-02T06:00:10.474Z,0.01925275,2647.39513,2020-03-13T02:22:55.044Z,,2024-01-09T03:55:45.396Z,,,
avalanche-2,avax,Avalanche,https://assets.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,35.76,13116997744,10,15551214441,989659931,11.83151,1395712549,11.9075,366601513.976815,434634423.942997,720000000,144.96,-75.33205,2021-11-21T14:18:56.538Z,2.8,1176.62049,2020-12-31T13:15:21.540Z,,2024-01-09T03:56:07.888Z,,,
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.079982,11394505281,11,11394506080,571541095,5.13797,589226828,5.45314,142576706383.705,142576716383.705,,0.731578,-89.07931,2021-05-08T05:08:23.458Z,0.0000869,91833.21083,2015-05-06T00:00:00.000Z,,2024-01-09T03:55:40.486Z,,,
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,7.33,9657583051,12,10251280494,280585743,9.39883,838325868,9.50563,1316786829.83938,1397735962.73938,,54.98,-86.66232,2021-11-04T14:10:09.301Z,2.7,171.85534,2020-08-20T05:48:11.359Z,,2024-01-09T03:55:58.953Z,,,
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.104078,9194330673,13,9194333129,410285372,2.36916,225397340,2.51309,88275451071.3161,88275474646.9579,,0.231673,-55.12744,2018-01-05T00:00:00.000Z,0.00180434,5661.52014,2017-11-12T00:00:00.000Z,,2024-01-09T03:56:06.528Z,53.777937878187366,usd,5377.793787818737
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,14,7959958756,14,14011545781,524809137,9.01121,662809534,9.08313,568099971.3083414,1000000000,1000000000,52.7,-73.42764,2021-05-10T00:13:57.214Z,0.148183,9349.60842,2017-11-29T00:00:00.000Z,,2024-01-09T03:55:56.772Z,,,
the-open-network,ton,Toncoin,https://assets.coingecko.com/coins/images/17980/large/ton_symbol.png?1696517498,2.24,7750016320,15,11437567252,47146758,4.11891,314346576,4.22755,3456299529.29472,5100848395.2902,,5.29,-57.6504,2021-11-12T06:50:02.476Z,0.519364,331.4183,2021-09-21T00:33:11.092Z,,2024-01-09T03:56:11.597Z,,,
